clc,lu,desc0,nbs_code,hazard,landscape_case
32,333,Sparsely vegetated areas,FRI-5,Sea level rise,
32,333,Sparsely vegetated areas,FRI-5,Drought,
32,333,Sparsely vegetated areas,FRI-5,Flood,
32,333,Sparsely vegetated areas,FRI-5,Erosion,
32,333,Sparsely vegetated areas,FRI-5,Other,
32,333,Sparsely vegetated areas,NA-11,Flood,
32,333,Sparsely vegetated areas,NA-11,Other,
32,333,Sparsely vegetated areas,NA-2,Erosion,
32,333,Sparsely vegetated areas,NA-3,Other,
32,333,Sparsely vegetated areas,NA-7,Heat,
32,333,Sparsely vegetated areas,CA-1,Flood,
33,334,Burnt areas,ES-6,Erosion,
33,334,Burnt areas,ES-6,Drought,
33,334,Burnt areas,ES-4,Other,
33,334,Burnt areas,ES-6,Other,
33,334,Burnt areas,ES-4,Fires,
33,334,Burnt areas,ES-6,Fires,
35,411,Inland marshes,DK-1,Other,Coastal
35,411,Inland marshes,DK-1,Flood,Coastal
35,411,Inland marshes,EF-2,Flood,Coastal
35,411,Inland marshes,EF-3,Drought,Coastal
35,411,Inland marshes,EF-3,Flood,Coastal
35,411,Inland marshes,EF-4,Other,Coastal
35,411,Inland marshes,ES-12,Erosion,Coastal
35,411,Inland marshes,ES-12,Other,Coastal
35,411,Inland marshes,ES-13,Heat,Coastal
35,411,Inland marshes,ES-13,Sea level rise,Coastal
35,411,Inland marshes,ES-13,Drought,Coastal
35,411,Inland marshes,ES-13,Other,Coastal
35,411,Inland marshes,WF-3,Erosion,Coastal
35,411,Inland marshes,WF-3,Flood,Coastal
35,411,Inland marshes,NA-16,Other,Coastal
35,411,Inland marshes,CA-1,Flood,Coastal
35,411,Inland marshes,NA-1,Other,Coastal
35,411,Inland marshes,NA-1,Flood,Coastal
35,411,Inland marshes,NA-1,Drought,Coastal
35,411,Inland marshes,NA-1,Heat,Coastal
35,411,Inland marshes,NA-9,Erosion,Coastal
35,411,Inland marshes,NA-12,Heat,Coastal
35,411,Inland marshes,NA-12,Drought,Coastal
35,411,Inland marshes,NA-12,Heat,Coastal
35,411,Inland marshes,NA-12,Other,Coastal
35,411,Inland marshes,NA-12,Drought,Coastal
35,411,Inland marshes,ES-7,Flood,Coastal
35,411,Inland marshes,ES-7,Erosion,Coastal
35,411,Inland marshes,WF-11,Drought,Coastal
35,411,Inland marshes,WF-10,Flood,Coastal
35,411,Inland marshes,WF-10,Drought,Coastal
35,411,Inland marshes,WF-3,Drought,Coastal
35,411,Inland marshes,NA-12,Other,Coastal
35,411,Inland marshes,ES-15,Other,Coastal
35,411,Inland marshes,NA-6,Heat,Coastal
36,412,Peat bogs,DK-9,Flood,
36,412,Peat bogs,FRI-2,Other,
36,412,Peat bogs,FRI-1,Drought,
36,412,Peat bogs,FRI-2,Erosion,
36,412,Peat bogs,ES-2,Erosion,
36,412,Peat bogs,FRI-2,Drought,
36,412,Peat bogs,ES-2,Other,
36,412,Peat bogs,DK-7,Other,
36,412,Peat bogs,FRI-1,Other,
36,412,Peat bogs,DK-9,Heat,
36,412,Peat bogs,DK-8,Other,
37,421,Salt marshes,ES-13,Drought,Coastal
37,421,Salt marshes,FRI-5,Other,Coastal
37,421,Salt marshes,FRI-5,Erosion,Coastal
37,421,Salt marshes,FRI-5,Flood,Coastal
37,421,Salt marshes,FRI-5,Drought,Coastal
37,421,Salt marshes,FRI-5,Sea level rise,Coastal
37,421,Salt marshes,ES-8,Erosion,Coastal
37,421,Salt marshes,ES-8,Flood,Coastal
37,421,Salt marshes,ES-21,Erosion,Coastal
37,421,Salt marshes,ES-21,Flood,Coastal
37,421,Salt marshes,ES-21,Sea level rise,Coastal
37,421,Salt marshes,ES-13,Other,Coastal
37,421,Salt marshes,ES-13,Sea level rise,Coastal
37,421,Salt marshes,ES-13,Heat,Coastal
37,421,Salt marshes,WF-8,Other,Coastal
37,421,Salt marshes,WF-8,Flood,Coastal
37,421,Salt marshes,WF-8,Drought,Coastal
37,421,Salt marshes,ES-12,Other,Coastal
37,421,Salt marshes,ES-12,Erosion,Coastal
37,421,Salt marshes,WF-5,Heat,Coastal
37,421,Salt marshes,WF-5,Other,Coastal
38,422,Salines,WF-7,Other,Coastal
39,423,Intertidal flats,FRI-5,Other,Coastal
39,423,Intertidal flats,FRI-5,Erosion,Coastal
39,423,Intertidal flats,FRI-5,Sea level rise,Coastal
39,423,Intertidal flats,FRI-5,Drought,Coastal
39,423,Intertidal flats,FRI-5,Flood,Coastal
40,511,Water courses,EF-1,Erosion,Coastal
40,511,Water courses,PO-2,Flood,Coastal
40,511,Water courses,FRI-5,Sea level rise,Coastal
40,511,Water courses,WF-7,Other,Coastal
40,511,Water courses,EF-3,Flood,Coastal
40,511,Water courses,EF-3,Drought,Coastal
40,511,Water courses,PO-2,Other,Coastal
40,511,Water courses,ES-24,Other,Coastal
40,511,Water courses,FRI-5,Drought,Coastal
40,511,Water courses,FRI-5,Flood,Coastal
40,511,Water courses,EF-2,Flood,Coastal
40,511,Water courses,FRI-5,Erosion,Coastal
40,511,Water courses,EF-1,Other,Coastal
40,511,Water courses,ES-24,Flood,Coastal
40,511,Water courses,ES-24,Drought,Coastal
40,511,Water courses,ES-24,Heat,Coastal
40,511,Water courses,CA-2,Other,Coastal
40,511,Water courses,FRI-5,Other,Coastal
40,511,Water courses,WF-8,Other,Coastal
40,511,Water courses,WF-1,Other,Coastal
40,511,Water courses,ES-20,Other,Coastal
40,511,Water courses,ES-20,Erosion,Coastal
40,511,Water courses,ES-20,Flood,Coastal
40,511,Water courses,ES-20,Heat,Coastal
40,511,Water courses,CA-2,Flood,Coastal
40,511,Water courses,PO-2,Drought,Coastal
40,511,Water courses,FRI-1,Drought,Coastal
40,511,Water courses,WF-19,Heat,Coastal
40,511,Water courses,WF-19,Drought,Coastal
40,511,Water courses,WF-19,Other,Coastal
40,511,Water courses,FRI-1,Other,Coastal
40,511,Water courses,ES-16,Erosion,Coastal
40,511,Water courses,ES-16,Flood,Coastal
40,511,Water courses,NA-4,Flood,Coastal
40,511,Water courses,WF-10,Drought,Coastal
40,511,Water courses,PO-2,Heat,Coastal
40,511,Water courses,DK-1,Flood,Coastal
40,511,Water courses,DK-1,Other,Coastal
40,511,Water courses,WF-20,Drought,Coastal
40,511,Water courses,WF-20,Other,Coastal
40,511,Water courses,CA-2,Heat,Coastal
40,511,Water courses,WF-8,Flood,Coastal
40,511,Water courses,WF-8,Drought,Coastal
40,511,Water courses,NA-9,Erosion,Coastal
